site,id,lat,lon
Apsley,74,-36.9241,141.048223
Ashens,69,-36.73,142.09904
Beulah South,100,-36.012238,142.305185
Broughton,19,-36.197,141.421
Bungalally,1,-36.818704,142.290523
Charam,47,-36.9268067,141.5155985
Clearlake,51,-36.94701441,142.0744856
Concongella,18,-37.01800156,142.8760071
Crowlands,85,-37.1624984,143.121002
Crymelon,102,-36.1300007,142.1938626
Deep Lead,68,-37.0049804,142.6781529
Dimboola East,14,-36.413,142.106
Dooen,101,-36.58913841,142.3029207
Dooen 2,27,-36.7011733,142.3960908
Douglas,7,-37.03522574,141.7696368
Edenhope,67,-36.8395599,141.2710727
Edenhope 2,46,-37.04143319,141.1586332
Gerang Gerung,70,-36.295,141.884
Gerang Gerung 2,76,-36.312917,141.865644
Glenlee,35,-36.27489913,141.777107
Glenlee 3,65,-36.2325919,141.9572024
Goroke,12,-36.7155695,141.4774592
Goroke South,38,-36.761,141.546
Great Western,94,-37.176846,142.888648
Greenfields Glenlofty,90,-37.14899826,143.2089996
Jeparit,20,-36.13354676,142.0559531
Jeparit 2,59,-36.127455,141.881892
Jeparit 3,16,-36.127455,141.881892
Joel Joel,103,-37.02119827,142.9889984
Joel South,22,-37.08800125,142.9880066
Jung,55,-36.6160441,142.1866743
Kalkee,3,-36.5464048,142.1929085
Kaniva,31,-36.3531624,141.1914659
Kaniva 3,32,-36.257008,141.26903
Kaniva 4,36,-36.324881,141.367449
Kaniva 5,37,-36.343517,141.258216
Kirkella,95,-36.95119858,142.8179932
Lah,9,-36.1606011,142.5013558
Lake fyans,15,-37.1216011,142.6309967
Landsborough,96,-37.01490021,143.0919952
Langkoop,42,-37.087273,141.084717
Minyip,66,-36.512308,142.575542
Mooneys Gap,92,-37.199352,143.019891
Mt Cole Creek,87,-37.20930099,143.1179962
Mt Dryden,97,-37.03699875,142.5599976
Murtoa,28,-36.59912,142.5230542
Natimuk,40,-36.882447,141.629875
Natimuk 2,41,-36.76195,141.871124
Natimuk 3,45,-36.730882,141.985749
Netherby,58,-36.083853,141.675799
Netherby 2,62,-36.027,141.664
Neuarpurr,43,-36.765,141.057
Nhill,10,-36.44177004,141.6289401
Nhill 2,44,-36.229,141.575
Noradjuha,81,-36.8706931,141.9013829
Nurcoung,72,-36.631886,141.696777
Ozenkadnook,52,-36.864399,141.382911
Pentlands Creek,98,-37.18999863,142.7070007
Peronne,39,-36.697956,141.381545
Pimpinio,30,-36.5882293,142.1682395
Rainbow,61,-35.8576597,141.9416565
Rhymney,17,-37.26100159,142.8110046
Rupanyup,13,-36.709537,142.667025
Serviceton,99,-36.441277,141.070176
Stawell Lake Lonsdale,23,-37.02740097,142.6880035
Ullswater,50,-36.950776,141.383021
Vectis,29,-36.7407718,142.0991691
Wallup,4,-36.29163894,142.2186581
Wallup 2,57,-36.36845612,142.2488213
Warracknabeal,6,-36.1812681,142.619128
Warracknabeal 2,48,-36.168,142.353
Warrak,93,-37.252161,143.152141
Watchem,49,-36.12689618,142.8622538
Woorak,71,-36.277822,141.780294
Yanac,53,-36.03465078,141.4026756
